Ccode,Dcode,Scode,EntityName
19,64733,1938612,Taft Charter High
19,64733,1938885,University High School Charter
19,64733,1995836,Palisades Charter High
19,64733,1996610,Los Angeles Leadership Academy
19,64733,6015986,Beckford Charter for Enriched Studies
19,64733,6016240,Calabash Charter Academy
19,64733,6016265,Calvert Charter for Enriched Studies
19,64733,6016323,Canyon Charter Elementary
19,64733,6016356,Carpenter Community Charter
19,64733,6016562,Colfax Charter Elementary
19,64733,6016729,Dearborn Elementary Charter Academy
19,64733,6016778,Dixie Canyon Community Charter
19,64733,6016869,El Oro Way Charter For Enriched Studies
19,64733,6016935,Encino Charter Elementary
19,64733,6017016,Fenton Avenue Charter
19,64733,6017438,Hamlin Charter Academy
19,64733,6017529,Haynes Charter For Enriched Studies
19,64733,6017693,Justice Street Academy Charter
19,64733,6017701,Kenter Canyon Elementary Charter
19,64733,6017743,Knollwood Preparatory Academy
19,64733,6017891,Lockhurst Drive Charter Elementary
19,64733,6018063,Marquez Charter
19,64733,6018204,Montague Charter Academy
19,64733,6018287,Nestle Avenue Charter
19,64733,6018634,Palisades Charter Elementary
19,64733,6018642,Pacoima Charter Elementary
19,64733,6018725,Plainview Academic Charter Academy
19,64733,6018774,Pomelo Community Charter
19,64733,6018923,Riverside Drive Charter
19,64733,6019079,Santa Monica Boulevard Community Charter
19,64733,6019111,Serrania Avenue Charter For Enriched Studies
19,64733,6019186,Sherman Oaks Elementary Charter
19,64733,6019392,Superior Street Elementary
19,64733,6019525,Topanga Elementary Charter
19,64733,6019533,Topeka Charter School For Advanced Studies
19,64733,6019673,Van Gogh Charter
19,64733,6019715,Vaughn Next Century Learning Center
19,64733,6019855,Welby Way Charter Elementary School And Gifted-High Ability Magnet
19,64733,6019939,Westwood Charter Elementary
19,64733,6019954,Wilbur Charter For Enriched Academics
19,64733,6020036,Woodlake Elementary Community Charter
19,64733,6020044,Woodland Hills Elementary Charter For Enriched Studies
19,64733,6057988,Emerson Community Charter
19,64733,6058150,Louis Armstrong Middle
19,64733,6058267,Paul Revere Charter Middle
19,64733,6061477,George Ellery Hale Charter Academy
19,64733,6061543,Alfred B. Nobel Charter Middle
19,64733,6061584,Gaspar De Portola Charter Middle
19,64733,6071435,Castlebay Lane Charter
19,64733,6094726,Community Magnet Charter Elementary
19,64733,6097927,Open Charter Magnet
19,64733,6112536,Accelerated
19,64733,6114912,Watts Learning Center
19,64733,6116750,PUC Community Charter Middle and PUC Community Charter Early College High
19,64733,6117048,ICEF View Park Preparatory Elementary
19,64733,6117667,Camino Nuevo Charter Academy
19,64733,6119044,Multicultural Learning Center
19,64733,6119531,CHIME Institute's Schwarzenegger Community
19,64733,6119903,Downtown Value
19,64733,6120471,Puente Charter
19,64733,6120489,Para Los Niños Charter
19,64733,6121081,ICEF View Park Preparatory Middle
19,64857,0112714,Antelope Valley Learning Academy
19,64857,0125377,Palmdale Aerospace Academy
19,64857,0140889,Palmdale Academy Charter
19,64881,0113464,Aveson Global Leadership Academy
19,64881,0113472,Aveson School of Leaders
19,64881,0113894,Pasadena Rosebud Academy
19,64881,0118075,Learning Works
19,64881,0136945,OCS - South
19,64907,0115170,School of Extended Educational Options
19,64907,1996693,School of Arts and Enterprise
19,64907,6021984,La Verne Science and Technology Charter
19,65094,0112706,California Virtual Academy @ Los Angeles
19,65094,6023527,San Jose Charter Academy
19,65136,0114439,Mission View Public
19,65136,0117234,Santa Clarita Valley International
19,65136,1996263,Opportunities for Learning - William S. Hart
19,73437,0115725,Lifeline Education Charter
19,73437,0118760,Barack Obama Charter
19,73437,0132845,Today's Fresh Start-Compton
19,73437,0134338,ISANA Achernar Academy
19,73437,0137893,KIPP Compton Community
19,73437,0137984,Animo Compton Charter
19,73452,0120600,iQ Academy California-Los Angeles
19,75291,1996016,Options for Youth San Gabriel
19,75309,0127100,Assurance Learning Academy
19,75309,0131383,SIATech Academy South
19,75309,0131987,iLEAD Hybrid
19,75309,0132654,California Pacific Charter- Los Angeles
19,75309,0134619,Empower Generations
19,75309,0135145,Compass Charter Schools of Los Angeles
19,75309,0136531,iLEAD Online Charter
19,75309,0136648,Options for Youth-Acton
19,75309,0137703,"Method Schools, LA"
19,75309,0137786,Mission Academy
19,75309,0138297,iLead Agua Dulce
19,75663,6120158,New West Charter
19,76869,0119016,Da Vinci Science
19,76869,0119636,Da Vinci Design
19,76869,0128728,Da Vinci Connect
19,76869,0131128,Da Vinci Communications
19,76968,0109926,Academia Avance Charter
20,10207,0117184,Madera County Independent Academy
20,10207,2030229,Pioneer Technical Center
20,65185,0129015,Yosemite-Wawona Elementary Charter
20,65243,0100016,Sherman Thomas Charter
20,65243,0107938,Liberty Charter
